total_imports_exports_and_balance_trade,year,trade_type,value_million_usd
Afghanistan,2015-01-01,balance_import_export,-7151
Afghanistan,2019-01-01,balance_import_export,-7698
Afghanistan,2020-01-01,balance_import_export,-7484
Afghanistan,2021-01-01,balance_import_export,-4728
Albania,1995-01-01,imports,713
Albania,2005-01-01,imports,2614
Albania,2010-01-01,imports,4603
Albania,2015-01-01,imports,4320
Albania,2019-01-01,imports,5908
Albania,2020-01-01,imports,5411
Albania,2021-01-01,imports,7200
Albania,1995-01-01,exports,202
Albania,2005-01-01,exports,658
Albania,2010-01-01,exports,1550
Albania,2015-01-01,exports,1930
Albania,2019-01-01,exports,2719
Albania,2020-01-01,exports,2416
Albania,2021-01-01,exports,3200
Albania,1995-01-01,balance_import_export,-511
Albania,2005-01-01,balance_import_export,-1956
Albania,2010-01-01,balance_import_export,-3053
Albania,2015-01-01,balance_import_export,-2391
Albania,2019-01-01,balance_import_export,-3189
Albania,2020-01-01,balance_import_export,-2995
Albania,2021-01-01,balance_import_export,-3999
Algeria,1995-01-01,imports,10782
Algeria,2005-01-01,imports,20357
Algeria,2010-01-01,imports,41000
Algeria,2015-01-01,imports,51803
Algeria,2019-01-01,imports,42628
Algeria,2020-01-01,imports,34160
Algeria,2021-01-01,imports,34921
Algeria,1995-01-01,exports,9357
Algeria,2005-01-01,exports,46002
Algeria,2010-01-01,exports,57051
Algeria,2015-01-01,exports,34796
Algeria,2019-01-01,exports,32187
Algeria,2020-01-01,exports,19308
Algeria,2021-01-01,exports,35721
Algeria,1995-01-01,balance_import_export,-1426
Algeria,2005-01-01,balance_import_export,25645
Algeria,2010-01-01,balance_import_export,16051
Algeria,2015-01-01,balance_import_export,-17007
Algeria,2019-01-01,balance_import_export,-10441
Algeria,2020-01-01,balance_import_export,-14852
Algeria,2021-01-01,balance_import_export,801
Andorra,1995-01-01,imports,1025
Andorra,2005-01-01,imports,1796
Andorra,2010-01-01,imports,1541
Andorra,2015-01-01,imports,1294
Andorra,2019-01-01,imports,1538
Andorra,2020-01-01,imports,1499
Andorra,2021-01-01,imports,1398
Andorra,1995-01-01,exports,48
Andorra,2005-01-01,exports,143
Andorra,2010-01-01,exports,92
Andorra,2015-01-01,exports,90
Andorra,2019-01-01,exports,124
Andorra,2020-01-01,exports,165
Andorra,2021-01-01,exports,261
Andorra,1995-01-01,balance_import_export,-978
Andorra,2005-01-01,balance_import_export,-1653
Andorra,2010-01-01,balance_import_export,-1448
Andorra,2015-01-01,balance_import_export,-1204
Andorra,2019-01-01,balance_import_export,-1414
Andorra,2020-01-01,balance_import_export,-1334
Andorra,2021-01-01,balance_import_export,-1137
Angola,1995-01-01,imports,1466
Angola,2005-01-01,imports,8321
Angola,2010-01-01,imports,18143
Angola,2015-01-01,imports,21549
Angola,2019-01-01,imports,14160
Angola,2020-01-01,imports,9831
Angola,2021-01-01,imports,12929
Angola,1995-01-01,exports,3592
Angola,2005-01-01,exports,23835
Angola,2010-01-01,exports,52612
Angola,2015-01-01,exports,33925
Angola,2019-01-01,exports,34819
Angola,2020-01-01,exports,25127
Angola,2021-01-01,exports,22347
Angola,1995-01-01,balance_import_export,2126
Angola,2005-01-01,balance_import_export,15514
Angola,2010-01-01,balance_import_export,34469
Angola,2015-01-01,balance_import_export,12376
Angola,2019-01-01,balance_import_export,20659
Angola,2020-01-01,balance_import_export,15296
Angola,2021-01-01,balance_import_export,9418
Anguilla,1995-01-01,imports,53
Anguilla,2005-01-01,imports,133
Anguilla,2010-01-01,imports,149
Anguilla,2015-01-01,imports,204
Anguilla,2019-01-01,imports,653
Anguilla,2020-01-01,imports,602
Anguilla,2021-01-01,imports,708
Anguilla,1995-01-01,exports,1
Anguilla,2005-01-01,exports,7
Anguilla,2010-01-01,exports,12
Anguilla,2015-01-01,exports,11
Anguilla,2019-01-01,exports,56
Anguilla,2020-01-01,exports,43
Anguilla,2021-01-01,exports,35
Anguilla,1995-01-01,balance_import_export,-52
Anguilla,2005-01-01,balance_import_export,-126
Anguilla,2010-01-01,balance_import_export,-137
Anguilla,2015-01-01,balance_import_export,-193
Anguilla,2019-01-01,balance_import_export,-597
Anguilla,2020-01-01,balance_import_export,-559
Anguilla,2021-01-01,balance_import_export,-673
Antigua and Barbuda,1995-01-01,imports,344
Antigua and Barbuda,2005-01-01,imports,525
Antigua and Barbuda,2010-01-01,imports,501
Antigua and Barbuda,2015-01-01,imports,465
Antigua and Barbuda,2019-01-01,imports,568
Antigua and Barbuda,2020-01-01,imports,547
Antigua and Barbuda,2021-01-01,imports,714
Antigua and Barbuda,1995-01-01,exports,53
Antigua and Barbuda,2005-01-01,exports,121
Antigua and Barbuda,2010-01-01,exports,35
Antigua and Barbuda,2015-01-01,exports,26
Antigua and Barbuda,2019-01-01,exports,37
Antigua and Barbuda,2020-01-01,exports,9
Antigua and Barbuda,2021-01-01,exports,23
Antigua and Barbuda,1995-01-01,balance_import_export,-291
Antigua and Barbuda,2005-01-01,balance_import_export,-405
Antigua and Barbuda,2010-01-01,balance_import_export,-466
Antigua and Barbuda,2015-01-01,balance_import_export,-439
Antigua and Barbuda,2019-01-01,balance_import_export,-531
Antigua and Barbuda,2020-01-01,balance_import_export,-538
Antigua and Barbuda,2021-01-01,balance_import_export,-691
Argentina,1995-01-01,imports,20122
Argentina,2005-01-01,imports,28689
Argentina,2010-01-01,imports,56792
Argentina,2015-01-01,imports,60203
Argentina,2019-01-01,imports,49125
Argentina,2020-01-01,imports,42356
Argentina,2021-01-01,imports,63184
Argentina,1995-01-01,exports,20963
Argentina,2005-01-01,exports,40106
Argentina,2010-01-01,exports,68174
Argentina,2015-01-01,exports,56784
Argentina,2019-01-01,exports,65114
Argentina,2020-01-01,exports,54884
Argentina,2021-01-01,exports,77934
Argentina,1995-01-01,balance_import_export,841
Argentina,2005-01-01,balance_import_export,11418
Argentina,2010-01-01,balance_import_export,11382
Argentina,2015-01-01,balance_import_export,-3419
Argentina,2019-01-01,balance_import_export,15989
Argentina,2020-01-01,balance_import_export,12528
Argentina,2021-01-01,balance_import_export,14751
Armenia,1995-01-01,imports,674
Armenia,2005-01-01,imports,1692
Armenia,2010-01-01,imports,3782
Armenia,2015-01-01,imports,3257
Armenia,2019-01-01,imports,5072
Armenia,2020-01-01,imports,4565
Armenia,2021-01-01,imports,5319
Armenia,1995-01-01,exports,271
Armenia,2005-01-01,exports,937
Armenia,2010-01-01,exports,1011
Armenia,2015-01-01,exports,1483
Armenia,2019-01-01,exports,2620
Armenia,2020-01-01,exports,2513
Armenia,2021-01-01,exports,2971
Armenia,1995-01-01,balance_import_export,-403
Armenia,2005-01-01,balance_import_export,-755
Armenia,2010-01-01,balance_import_export,-2770
Armenia,2015-01-01,balance_import_export,-1774
Armenia,2019-01-01,balance_import_export,-2452
Armenia,2020-01-01,balance_import_export,-2053
Armenia,2021-01-01,balance_import_export,-2348
Aruba,1995-01-01,imports,566
Aruba,2005-01-01,imports,1030
Aruba,2010-01-01,imports,1071
Aruba,2015-01-01,imports,1165
Aruba,2019-01-01,imports,1314
Aruba,2020-01-01,imports,939
Aruba,2021-01-01,imports,1170
Aruba,1995-01-01,exports,15
Aruba,2005-01-01,exports,106
Aruba,2010-01-01,exports,125
Aruba,2015-01-01,exports,80
Aruba,2019-01-01,exports,79
Aruba,2020-01-01,exports,66
Aruba,2021-01-01,exports,88
Aruba,1995-01-01,balance_import_export,-551
Aruba,2005-01-01,balance_import_export,-924
Aruba,2010-01-01,balance_import_export,-947
Aruba,2015-01-01,balance_import_export,-1085
Aruba,2019-01-01,balance_import_export,-1235
Aruba,2020-01-01,balance_import_export,-873
Aruba,2021-01-01,balance_import_export,-1081
Australia,1995-01-01,imports,57381
Australia,2005-01-01,imports,125221
Australia,2010-01-01,imports,201703
Australia,2015-01-01,imports,200114
Australia,2019-01-01,imports,221481
Australia,2020-01-01,imports,211973
Australia,2021-01-01,imports,261586
Australia,1995-01-01,exports,52628
Australia,2005-01-01,exports,106011
Australia,2010-01-01,exports,212109
Australia,2015-01-01,exports,187792
Australia,2019-01-01,exports,266377
Australia,2020-01-01,exports,245046
Australia,2021-01-01,exports,342036
Australia,1995-01-01,balance_import_export,-4752
Australia,2005-01-01,balance_import_export,-19210
Australia,2010-01-01,balance_import_export,10405
Australia,2015-01-01,balance_import_export,-12322
Australia,2019-01-01,balance_import_export,44896
Australia,2020-01-01,balance_import_export,33073
Australia,2021-01-01,balance_import_export,80450
Austria,1995-01-01,imports,66331
Austria,2005-01-01,imports,119950
Austria,2010-01-01,imports,150593
Austria,2015-01-01,imports,147928
Austria,2019-01-01,imports,176596
Austria,2020-01-01,imports,164636
Austria,2021-01-01,imports,218972
Austria,1995-01-01,exports,53460
Austria,2005-01-01,exports,117722
Austria,2010-01-01,exports,144882
Austria,2015-01-01,exports,145276
Austria,2019-01-01,exports,171532
Austria,2020-01-01,exports,162145
Austria,2021-01-01,exports,201647
Austria,1995-01-01,balance_import_export,-12871
Austria,2005-01-01,balance_import_export,-2228
Austria,2010-01-01,balance_import_export,-5711
Austria,2015-01-01,balance_import_export,-2652
Austria,2019-01-01,balance_import_export,-5064
Austria,2020-01-01,balance_import_export,-2490
Austria,2021-01-01,balance_import_export,-17325
Azerbaijan,1995-01-01,imports,666
Azerbaijan,2005-01-01,imports,4211
Azerbaijan,2010-01-01,imports,6597
Azerbaijan,2015-01-01,imports,9214
Azerbaijan,2019-01-01,imports,13650
Azerbaijan,2020-01-01,imports,10731
Azerbaijan,2021-01-01,imports,11698
Azerbaijan,1995-01-01,exports,637
Azerbaijan,2005-01-01,exports,4347
Azerbaijan,2010-01-01,exports,21278
Azerbaijan,2015-01-01,exports,12646
Azerbaijan,2019-01-01,exports,19635
Azerbaijan,2020-01-01,exports,13733
Azerbaijan,2021-01-01,exports,22207
Azerbaijan,1995-01-01,balance_import_export,-30
Azerbaijan,2005-01-01,balance_import_export,136
Azerbaijan,2010-01-01,balance_import_export,14682
Azerbaijan,2015-01-01,balance_import_export,3432
Azerbaijan,2019-01-01,balance_import_export,5986
Azerbaijan,2020-01-01,balance_import_export,3002
Azerbaijan,2021-01-01,balance_import_export,10508
Bahamas,1995-01-01,imports,1243
Bahamas,2005-01-01,imports,2567
Bahamas,2010-01-01,imports,2862
Bahamas,2015-01-01,imports,3161
Bahamas,2019-01-01,imports,3781
Bahamas,2020-01-01,imports,3797
Bahamas,2021-01-01,imports,3797
Bahamas,1995-01-01,exports,176
Bahamas,2005-01-01,exports,271
Bahamas,2010-01-01,exports,620
Bahamas,2015-01-01,exports,443
Bahamas,2019-01-01,exports,190
Bahamas,2020-01-01,exports,342
Bahamas,2021-01-01,exports,1067
Bahamas,1995-01-01,balance_import_export,-1067
Bahamas,2005-01-01,balance_import_export,-2296
Bahamas,2010-01-01,balance_import_export,-2242
Bahamas,2015-01-01,balance_import_export,-2719
Bahamas,2019-01-01,balance_import_export,-3591
Bahamas,2020-01-01,balance_import_export,-3455
Bahamas,2021-01-01,balance_import_export,-2729
Bahrain,1995-01-01,imports,3679
Bahrain,2005-01-01,imports,9339
Bahrain,2010-01-01,imports,16002
Bahrain,2015-01-01,imports,16390
Bahrain,2019-01-01,imports,18588
Bahrain,2020-01-01,imports,14849
Bahrain,2021-01-01,imports,14268
Bahrain,1995-01-01,exports,3475
Bahrain,2005-01-01,exports,10239
Bahrain,2010-01-01,exports,16059
Bahrain,2015-01-01,exports,13882
Bahrain,2019-01-01,exports,14167
Bahrain,2020-01-01,exports,10444
Bahrain,2021-01-01,exports,16734
Bahrain,1995-01-01,balance_import_export,-204
Bahrain,2005-01-01,balance_import_export,899
Bahrain,2010-01-01,balance_import_export,58
Bahrain,2015-01-01,balance_import_export,-2508
Bahrain,2019-01-01,balance_import_export,-4421
Bahrain,2020-01-01,balance_import_export,-4405
Bahrain,2021-01-01,balance_import_export,2466
Bangladesh,1995-01-01,imports,5438
Bangladesh,2005-01-01,imports,12631
Bangladesh,2010-01-01,imports,30504
Bangladesh,2015-01-01,imports,48059
Bangladesh,2019-01-01,imports,55095
Bangladesh,2020-01-01,imports,45858
Bangladesh,2021-01-01,imports,67283
Bangladesh,1995-01-01,exports,3407
Bangladesh,2005-01-01,exports,9332
Bangladesh,2010-01-01,exports,19231
Bangladesh,2015-01-01,exports,31734
Bangladesh,2019-01-01,exports,35919
Bangladesh,2020-01-01,exports,30746
Bangladesh,2021-01-01,exports,39249
Bangladesh,1995-01-01,balance_import_export,-2031
Bangladesh,2005-01-01,balance_import_export,-3299
Bangladesh,2010-01-01,balance_import_export,-11273
Bangladesh,2015-01-01,balance_import_export,-16325
Bangladesh,2019-01-01,balance_import_export,-19176
Bangladesh,2020-01-01,balance_import_export,-15111
Bangladesh,2021-01-01,balance_import_export,-28034
Barbados,1995-01-01,imports,766
Barbados,2005-01-01,imports,1672
Barbados,2010-01-01,imports,1196
Barbados,2015-01-01,imports,1618
Barbados,2019-01-01,imports,1581
Barbados,2020-01-01,imports,1501
Barbados,2021-01-01,imports,1673
Barbados,1995-01-01,exports,238
Barbados,2005-01-01,exports,361
Barbados,2010-01-01,exports,314
Barbados,2015-01-01,exports,483
Barbados,2019-01-01,exports,444
Barbados,2020-01-01,exports,345
Barbados,2021-01-01,exports,350
Barbados,1995-01-01,balance_import_export,-528
Barbados,2005-01-01,balance_import_export,-1311
Barbados,2010-01-01,balance_import_export,-883
Barbados,2015-01-01,balance_import_export,-1135
Barbados,2019-01-01,balance_import_export,-1137
Barbados,2020-01-01,balance_import_export,-1156
Barbados,2021-01-01,balance_import_export,-1323
Belarus,1995-01-01,imports,5382
Belarus,2005-01-01,imports,16699
Belarus,2010-01-01,imports,34884
Belarus,2015-01-01,imports,30291
Belarus,2019-01-01,imports,39477
Belarus,2020-01-01,imports,32767
Belarus,2021-01-01,imports,41811
Belarus,1995-01-01,exports,4623
Belarus,2005-01-01,exports,15977
Belarus,2010-01-01,exports,25283
Belarus,2015-01-01,exports,26660
Belarus,2019-01-01,exports,32955
Belarus,2020-01-01,exports,29179
Belarus,2021-01-01,exports,39889
Belarus,1995-01-01,balance_import_export,-759
Belarus,2005-01-01,balance_import_export,-722
Belarus,2010-01-01,balance_import_export,-9601
Belarus,2015-01-01,balance_import_export,-3631
Belarus,2019-01-01,balance_import_export,-6522
Belarus,2020-01-01,balance_import_export,-3588
Belarus,2021-01-01,balance_import_export,-1922
Belgium,2005-01-01,imports,319085
Belgium,2010-01-01,imports,391256
Belgium,2015-01-01,imports,371025
Belgium,2019-01-01,imports,318836
Belgium,2020-01-01,imports,294179
Belgium,2021-01-01,imports,344685
Belgium,2005-01-01,exports,335692
Belgium,2010-01-01,exports,407596
Belgium,2015-01-01,exports,397739
Belgium,2019-01-01,exports,311746
Belgium,2020-01-01,exports,296131
Belgium,2021-01-01,exports,336468
Belgium,2005-01-01,balance_import_export,16606
Belgium,2010-01-01,balance_import_export,16340
Belgium,2015-01-01,balance_import_export,26714
Belgium,2019-01-01,balance_import_export,-7091
Belgium,2020-01-01,balance_import_export,1952
Belgium,2021-01-01,balance_import_export,-8216
Belize,1995-01-01,imports,259
Belize,2005-01-01,imports,439
Belize,2010-01-01,imports,700
Belize,2015-01-01,imports,996
Belize,2019-01-01,imports,986
Belize,2020-01-01,imports,787
Belize,2021-01-01,imports,1060
Belize,1995-01-01,exports,162
Belize,2005-01-01,exports,208
Belize,2010-01-01,exports,282
Belize,2015-01-01,exports,314
Belize,2019-01-01,exports,245
Belize,2020-01-01,exports,212
Belize,2021-01-01,exports,264
Belize,1995-01-01,balance_import_export,-97
Belize,2005-01-01,balance_import_export,-231
Belize,2010-01-01,balance_import_export,-418
Belize,2015-01-01,balance_import_export,-682
Belize,2019-01-01,balance_import_export,-741
Belize,2020-01-01,balance_import_export,-575
Belize,2021-01-01,balance_import_export,-796
Benin,1995-01-01,imports,745
Benin,2005-01-01,imports,899
Benin,2010-01-01,imports,2134
Benin,2015-01-01,imports,2475
Benin,2019-01-01,imports,2936
Benin,2020-01-01,imports,2663
Benin,2021-01-01,imports,3186
Benin,1995-01-01,exports,415
Benin,2005-01-01,exports,288
Benin,2010-01-01,exports,534
Benin,2015-01-01,exports,626
Benin,2019-01-01,exports,851
Benin,2020-01-01,exports,846
Benin,2021-01-01,exports,1024
Benin,1995-01-01,balance_import_export,-329
Benin,2005-01-01,balance_import_export,-611
Benin,2010-01-01,balance_import_export,-1600
Benin,2015-01-01,balance_import_export,-1849
Benin,2019-01-01,balance_import_export,-2085
Benin,2020-01-01,balance_import_export,-1817
Benin,2021-01-01,balance_import_export,-2163
Bermuda,1995-01-01,imports,633
Bermuda,2005-01-01,imports,988
