T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
18,Southern Africa,2005,Exports FOB (millions of US dollars),,,"56,076",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2010,Exports FOB (millions of US dollars),,,"95,232",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2015,Exports FOB (millions of US dollars),,,"93,647",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2019,Exports FOB (millions of US dollars),,,"103,539",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2020,Exports FOB (millions of US dollars),,,"97,668",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2021,Exports FOB (millions of US dollars),,,"143,279",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,1995,Balance imports/exports (millions of US dollars),,,"1,470",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2005,Balance imports/exports (millions of US dollars),,,"-7,711",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2010,Balance imports/exports (millions of US dollars),,,"-2,491",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2015,Balance imports/exports (millions of US dollars),,,"-10,527",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2019,Balance imports/exports (millions of US dollars),,,"-2,339",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2020,Balance imports/exports (millions of US dollars),,,"12,299",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
18,Southern Africa,2021,Balance imports/exports (millions of US dollars),,,"26,133",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
11,Western Africa,1995,Imports CIF (millions of US dollars),,,"19,153",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
11,Western Africa,2005,Imports CIF (millions of US dollars),,,"44,948",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
11,Western Africa,2010,Imports CIF (millions of US dollars),,,"83,254",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
11,Western Africa,2015,Imports CIF (millions of US dollars),,,"87,237",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
