country_code,year,paper_pulp_prod_tonnes
FIN,2016,10520000
FIN,2015,10250000
FIN,2014,10221386
FIN,2013,10270000
FIN,2012,10109650
FIN,2011,10362000
FIN,2010,10508000
FIN,2009,8815000
FIN,2008,11624000
FIN,2007,12856000
FIN,2006,13115000
FIN,2005,11134000
FIN,2004,12614000
FIN,2003,11948000
FIN,2002,11729000
FIN,2001,11168000
FIN,2000,11919000
FIN,1999,11579000
FIN,1998,11355000
FIN,1997,11089000
FIN,1996,9693000
FIN,1995,10088000
FIN,1994,9962000
FIN,1993,9338000
FIN,1992,8541000
FIN,1991,8413000
FIN,1990,8765000
FIN,1989,8954000
FIN,1988,8842000
FIN,1987,8339000
FIN,1986,7827000
FIN,1985,7837000
FIN,1984,7827000
FIN,1983,6979000
FIN,1982,6522000
FIN,1981,7142000
FIN,1980,7037000
FIN,1979,6851000
FIN,1978,5898000
FIN,1977,5092000
FIN,1976,5232000
FIN,1975,4992000
FIN,1974,6390000
FIN,1973,6491000
FIN,1972,6107000
FIN,1971,5764000
FIN,1970,5951000
FIN,1969,5820000
FIN,1968,5455000
FIN,1967,5236000
FIN,1966,5236000
FIN,1965,5062000
FIN,1964,4820000
FIN,1963,4346000
FIN,1962,3959000
FIN,1961,4085000
FRA,2020,1611000
FRA,2019,1617000
FRA,2018,1604200
FRA,2017,1689000
FRA,2016,1711000
FRA,2015,1716000
FRA,2014,1612000
FRA,2013,1653051
FRA,2012,1772740
FRA,2011,1832772
FRA,2010,1827941
FRA,2009,1683420
FRA,2008,2219837
FRA,2007,2253993
FRA,2006,2358000
FRA,2005,2443000
FRA,2004,2426000
FRA,2003,2315000
FRA,2002,2427750
FRA,2001,2460750
FRA,2000,2581750
FRA,1999,2591500
FRA,1998,2676900
FRA,1997,2832000
FRA,1996,2517000
FRA,1995,2819000
FRA,1994,2788000
FRA,1993,2539500
FRA,1992,2747000
FRA,1991,2453000
FRA,1990,2418000
FRA,1989,2409000
FRA,1988,2073000
FRA,1987,2115000
FRA,1986,2037000
FRA,1985,1785000
FRA,1984,2045000
FRA,1983,1862000
FRA,1982,1755000
FRA,1981,1693000
FRA,1980,1736000
FRA,1979,1829000
FRA,1978,1920000
FRA,1977,1935000
FRA,1976,1748000
FRA,1975,1687000
FRA,1974,1965000
FRA,1973,1911000
FRA,1972,1893900
FRA,1971,1815400
FRA,1970,1805600
FRA,1969,1707900
FRA,1968,1588100
FRA,1967,1638800
FRA,1966,1607300
FRA,1965,1530600
FRA,1964,1453000
FRA,1963,1387000
FRA,1962,1371000
FRA,1961,1362000
GEO,2020,0
GEO,2019,0
GEO,2018,0
GEO,2017,0
GEO,2016,0
GEO,2015,0
GEO,2014,0
GEO,2013,0
GEO,2012,0
GEO,2011,0
GEO,2010,0
GEO,2009,0
GEO,2008,0
GEO,2007,0
GEO,2006,0
GEO,2005,0
GEO,2004,0
GEO,2003,0
GEO,2002,0
GEO,2001,0
GEO,2000,0
DEU,2020,2319897
DEU,2019,2391832
DEU,2018,2543384
DEU,2017,2432000
DEU,2016,2485067
DEU,2015,2553000
DEU,2014,2597000
DEU,2013,2610000
DEU,2012,2636000
DEU,2011,2725000
DEU,2010,2763023
DEU,2009,2545010
DEU,2008,2908802
DEU,2007,3001000
DEU,2006,2938000
DEU,2005,2879000
DEU,2004,2502000
DEU,2003,2450000
DEU,2002,2148000
DEU,2001,2103000
DEU,2000,2215000
DEU,1999,1731000
DEU,1998,1950000
DEU,1997,1958000
DEU,1996,1816000
DEU,1995,1950000
DEU,1994,1934000
DEU,1993,2058000
DEU,1992,2297000
DEU,1991,2476000
DEU,1990,2435000
DEU,1989,2482000
DEU,1988,2420000
DEU,1987,2319000
DEU,1986,2285000
DEU,1985,2256000
DEU,1984,2359000
DEU,1983,2160000
DEU,1982,2080000
DEU,1981,2078000
DEU,1980,2066000
DEU,1979,2030000
DEU,1978,1907000
DEU,1977,1924000
DEU,1976,1842000
DEU,1975,1639000
DEU,1974,1903000
DEU,1973,1835000
DEU,1972,1801900
DEU,1971,1805000
DEU,1970,1866000
DEU,1969,1789000
DEU,1968,1637000
DEU,1967,1573000
DEU,1966,1543000
DEU,1965,1530000
DEU,1964,1452000
DEU,1963,1748000
DEU,1962,1723900
DEU,1961,1780600
GRC,2020,0
GRC,2019,0
GRC,2018,0
GRC,2017,0
GRC,2016,0
GRC,2015,0
GRC,2014,0
GRC,2013,0
GRC,2012,0
GRC,2011,0
GRC,2010,0
GRC,2009,0
GRC,2008,0
GRC,2007,0
GRC,2006,0
GRC,2005,0
GRC,2004,0
GRC,2003,0
GRC,2002,0
GRC,2001,0
GRC,2000,5000
GRC,1999,5000
GRC,1998,0
GRC,1997,0
GRC,1996,27000
GRC,1995,27000
GRC,1994,27000
GRC,1993,27000
GRC,1992,52000
GRC,1991,52000
GRC,1990,52000
GRC,1989,24000
GRC,1988,28000
GRC,1987,26000
GRC,1986,26000
GRC,1985,23000
GRC,1984,21000
GRC,1983,21000
GRC,1982,27000
GRC,1981,35000
GRC,1980,66000
GRC,1979,67000
GRC,1978,25000
GRC,1977,18000
GRC,1976,18000
GRC,1975,22000
GRC,1974,20000
GRC,1973,18000
GRC,1972,18000
GRC,1971,13000
GRC,1970,13000
GRC,1969,12000
GRC,1968,11000
GRC,1967,11000
GRC,1966,8000
HND,2020,0
HND,2019,0
HND,2018,0
HND,2017,0
HND,2016,0
HND,2015,0
HND,2014,0
HND,2013,0
HND,2012,0
HND,2011,0
HND,2010,7000
HND,2009,7000
HND,2008,7000
HND,2007,7000
HND,2006,7000
HND,2005,7000
HND,2004,7000
HND,2003,7000
HND,2002,7000
HND,2001,7000
